date,open_time,open,high,low,close,volume,close_time
2024-07-02 20:00:00,1719921600000,62832.01000000,63152.00000000,61823.74000000,61948.08000000,5966.58949000,1719935999999
2024-07-03 00:00:00,1719936000000,61948.08000000,62368.81000000,61806.28000000,61939.10000000,2841.63377000,1719950399999
2024-07-03 04:00:00,1719950400000,61939.10000000,62181.24000000,61875.55000000,62135.47000000,1428.41583000,1719964799999
2024-07-03 08:00:00,1719964800000,62135.46000000,62285.94000000,60600.00000000,60987.99000000,5145.57685000,1719979199999
2024-07-03 12:00:00,1719979200000,60988.00000000,61181.84000000,60816.00000000,60870.01000000,2356.60300000,1719993599999
2024-07-03 16:00:00,1719993600000,60870.01000000,60978.19000000,59600.00000000,60386.01000000,8846.07874000,1720007999999
2024-07-03 20:00:00,1720008000000,60386.01000000,60740.20000000,59752.29000000,60186.25000000,7199.97498000,1720022399999
2024-07-04 00:00:00,1720022400000,60186.25000000,60655.56000000,59666.00000000,59671.10000000,4933.93774000,1720036799999
2024-07-04 04:00:00,1720036800000,59671.11000000,60374.82000000,59400.00000000,60208.58000000,3677.93996000,1720051199999
2024-07-04 08:00:00,1720051200000,60208.57000000,60498.19000000,57800.01000000,59102.00000000,13491.78125000,1720065599999
2024-07-04 12:00:00,1720065600000,59102.00000000,59150.00000000,58104.00000000,58219.99000000,4995.15301000,1720079999999
2024-07-04 16:00:00,1720080000000,58219.99000000,58506.18000000,56952.00000000,57761.94000000,13240.07067000,1720094399999
2024-07-04 20:00:00,1720094400000,57761.95000000,58350.19000000,56771.00000000,58140.00000000,12117.63525000,1720108799999
2024-07-05 00:00:00,1720108800000,58140.00000000,58676.24000000,57752.27000000,58283.62000000,5009.28193000,1720123199999
2024-07-05 04:00:00,1720123200000,58283.62000000,58813.13000000,56866.00000000,57050.01000000,5714.85065000,1720137599999
2024-07-05 08:00:00,1720137600000,57050.02000000,57546.00000000,55000.00000000,55227.99000000,18842.91117000,1720151999999
2024-07-05 12:00:00,1720152000000,55228.00000000,55356.42000000,53485.93000000,54415.05000000,18348.50944000,1720166399999
2024-07-05 16:00:00,1720166400000,54415.04000000,55650.00000000,53900.00000000,55486.50000000,14058.05864000,1720180799999
2024-07-05 20:00:00,1720180800000,55486.51000000,56678.19000000,54828.52000000,56662.00000000,16600.37842000,1720195199999
2024-07-06 00:00:00,1720195200000,56662.99000000,57040.02000000,55779.33000000,56465.42000000,10590.10229000,1720209599999
2024-07-06 04:00:00,1720209600000,56465.41000000,56866.00000000,56315.00000000,56628.79000000,2908.28760000,1720223999999
2024-07-06 08:00:00,1720224000000,56628.79000000,56998.00000000,56170.50000000,56410.00000000,4430.41318000,1720238399999
2024-07-06 12:00:00,1720238400000,56409.99000000,56683.90000000,56018.00000000,56606.00000000,3090.15552000,1720252799999
2024-07-06 16:00:00,1720252800000,56606.00000000,56876.33000000,56436.78000000,56731.42000000,2361.38025000,1720267199999
2024-07-06 20:00:00,1720267200000,56731.42000000,57441.10000000,56500.00000000,57317.98000000,4879.13871000,1720281599999
2024-07-07 00:00:00,1720281600000,57317.99000000,58113.00000000,57185.76000000,57857.99000000,4272.51181000,1720295999999
2024-07-07 04:00:00,1720296000000,57857.99000000,58475.00000000,57806.92000000,58230.13000000,2617.71611000,1720310399999
2024-07-07 08:00:00,1720310400000,58230.13000000,58449.46000000,57838.00000000,57963.45000000,3130.97845000,1720324799999
2024-07-07 12:00:00,1720324800000,57963.46000000,58007.87000000,57073.36000000,57369.99000000,3555.09321000,1720339199999
2024-07-07 16:00:00,1720339200000,57369.99000000,57911.71000000,57350.94000000,57460.00000000,2240.99923000,1720353599999
2024-07-07 20:00:00,1720353600000,57460.00000000,57631.02000000,56563.46000000,56825.42000000,4001.28632000,1720367999999
2024-07-08 00:00:00,1720368000000,56825.42000000,57392.00000000,56755.55000000,57151.10000000,1983.16539000,1720382399999
2024-07-08 04:00:00,1720382400000,57151.10000000,57319.10000000,55724.37000000,55857.81000000,4207.41658000,1720396799999
2024-07-08 08:00:00,1720396800000,55857.81000000,56023.07000000,54260.16000000,55160.01000000,11551.58728000,1720411199999
2024-07-08 12:00:00,1720411200000,55160.00000000,55900.00000000,54963.62000000,55852.01000000,4404.65688000,1720425599999
2024-07-08 16:00:00,1720425600000,55852.00000000,58236.73000000,55741.11000000,57154.01000000,11849.73420000,1720439999999
2024-07-08 20:00:00,1720440000000,57154.01000000,57621.10000000,54800.00000000,55761.52000000,12916.02666000,1720454399999
2024-07-09 00:00:00,1720454400000,55761.52000000,56574.99000000,55425.74000000,56477.31000000,4703.86519000,1720468799999
2024-07-09 04:00:00,1720468800000,56477.30000000,56971.94000000,56200.00000000,56714.62000000,2664.33469000,1720483199999
2024-07-09 08:00:00,1720483200000,56714.61000000,57362.66000000,56289.45000000,57168.36000000,4128.26169000,1720497599999
2024-07-09 12:00:00,1720497600000,57168.36000000,57754.00000000,57011.50000000,57116.84000000,4342.95753000,1720511999999
2024-07-09 16:00:00,1720512000000,57116.84000000,57900.00000000,57024.01000000,57428.01000000,3810.42794000,1720526399999
2024-07-09 20:00:00,1720526400000,57428.01000000,58131.09000000,56903.00000000,57477.01000000,8788.77381000,1720540799999
2024-07-10 00:00:00,1720540800000,57477.00000000,58296.00000000,57362.08000000,57862.01000000,4164.82920000,1720555199999
2024-07-10 04:00:00,1720555200000,57862.01000000,58260.00000000,57704.30000000,58050.00000000,2496.95771000,1720569599999
2024-07-10 08:00:00,1720569600000,58050.00000000,58208.00000000,57309.09000000,58180.01000000,2762.23260000,1720583999999
2024-07-10 12:00:00,1720584000000,58180.00000000,59470.00000000,58180.00000000,58977.99000000,6066.49390000,1720598399999
2024-07-10 16:00:00,1720598400000,58977.99000000,59032.82000000,58311.66000000,58492.00000000,4042.42633000,1720612799999
2024-07-10 20:00:00,1720612800000,58492.00000000,58550.00000000,57471.12000000,57699.69000000,6905.27165000,1720627199999
2024-07-11 00:00:00,1720627200000,57699.69000000,58019.89000000,57353.84000000,57392.03000000,3000.71720000,1720641599999
2024-07-11 04:00:00,1720641600000,57392.03000000,57879.58000000,57157.79000000,57725.85000000,2174.59631000,1720655999999
2024-07-11 08:00:00,1720656000000,57725.85000000,58407.05000000,57050.00000000,57568.00000000,4166.29718000,1720670399999
2024-07-11 12:00:00,1720670400000,57568.00000000,58300.00000000,57488.28000000,58191.50000000,3450.47132000,1720684799999
2024-07-11 16:00:00,1720684800000,58191.50000000,58936.52000000,58052.00000000,58777.99000000,4104.41357000,1720699199999
2024-07-11 20:00:00,1720699200000,58777.99000000,59650.00000000,57266.58000000,57402.01000000,12045.90104000,1720713599999
2024-07-12 00:00:00,1720713600000,57402.01000000,58000.61000000,57178.00000000,57378.01000000,3674.19210000,1720727999999
2024-07-12 04:00:00,1720728000000,57378.00000000,57636.00000000,57150.00000000,57339.89000000,2319.78214000,1720742399999
2024-07-12 08:00:00,1720742400000,57339.89000000,57571.86000000,56542.47000000,56914.01000000,3755.44316000,1720756799999
2024-07-12 12:00:00,1720756800000,56914.01000000,57416.13000000,56716.68000000,57106.94000000,2909.38206000,1720771199999
2024-07-12 16:00:00,1720771200000,57106.95000000,57334.32000000,56767.05000000,57203.54000000,3142.52354000,1720785599999
2024-07-12 20:00:00,1720785600000,57203.54000000,58278.00000000,57000.00000000,58214.00000000,6704.39430000,1720799999999
2024-07-13 00:00:00,1720800000000,58213.99000000,58526.68000000,57500.00000000,57576.01000000,4912.50519000,1720814399999
2024-07-13 04:00:00,1720814400000,57576.01000000,57906.10000000,57150.06000000,57889.10000000,2228.20865000,1720828799999
2024-07-13 08:00:00,1720828800000,57889.09000000,57991.50000000,57762.39000000,57814.00000000,1446.83324000,1720843199999
2024-07-13 12:00:00,1720843200000,57814.00000000,58216.08000000,57756.63000000,58170.32000000,1632.17504000,1720857599999
2024-07-13 16:00:00,1720857600000,58170.33000000,58854.98000000,57900.57000000,58534.00000000,3065.17976000,1720871999999
2024-07-13 20:00:00,1720872000000,58534.00000000,58899.46000000,58434.38000000,58830.63000000,2936.67433000,1720886399999
2024-07-14 00:00:00,1720886400000,58830.62000000,58964.89000000,58572.98000000,58624.38000000,1692.04143000,1720900799999
