date,open_time,open,high,low,close,volume,close_time
2024-07-01 08:00:00,1719792000000,62772.01000000,63861.76000000,53485.93000000,55857.81000000,251967.61048000,1720396799999
2024-07-08 08:00:00,1720396800000,55857.81000000,61420.69000000,54260.16000000,60797.91000000,190723.74928000,1721001599999
2024-07-15 08:00:00,1721001600000,60797.91000000,68366.66000000,60632.30000000,68165.34000000,205198.52303000,1721606399999
2024-07-22 08:00:00,1721606400000,68165.35000000,69399.99000000,63456.70000000,68249.88000000,177889.46168000,1722211199999
2024-07-29 08:00:00,1722211200000,68249.88000000,70079.99000000,57122.77000000,58161.00000000,216238.92340000,1722815999999
2024-08-05 08:00:00,1722816000000,58161.00000000,62745.14000000,49000.00000000,58712.59000000,370726.80645000,1723420799999
2024-08-12 08:00:00,1723420800000,58712.59000000,61800.00000000,56078.54000000,58427.35000000,179945.24534000,1724025599999
2024-08-19 08:00:00,1724025600000,58427.35000000,65000.00000000,57787.30000000,64220.00000000,169792.31289000,1724630399999
2024-08-26 08:00:00,1724630400000,64219.99000000,64481.00000000,57201.00000000,57301.86000000,176518.33308000,1725235199999
2024-09-02 08:00:00,1725235200000,57301.77000000,59809.65000000,52550.00000000,54869.95000000,196506.89846000,1725839999999
2024-09-09 08:00:00,1725840000000,54869.95000000,60625.00000000,54591.96000000,59132.00000000,175833.33846000,1726444799999
2024-09-16 08:00:00,1726444800000,59132.00000000,64133.32000000,57493.30000000,63578.76000000,178097.29669000,1727049599999
2024-09-23 08:00:00,1727049600000,63578.76000000,66498.00000000,62538.75000000,65602.01000000,132963.29721000,1727654399999
2024-09-30 08:00:00,1727654400000,65602.01000000,65618.80000000,59828.11000000,62819.91000000,169447.68762000,1728259199999
2024-10-07 08:00:00,1728259200000,62819.91000000,64478.19000000,58946.00000000,62870.02000000,136109.36376000,1728863999999
2024-10-14 08:00:00,1728864000000,62870.02000000,69400.00000000,62457.81000000,69031.99000000,185982.16665000,1729468799999
2024-10-21 08:00:00,1729468800000,69032.00000000,69519.52000000,65260.00000000,68021.70000000,159069.27886000,1730073599999
2024-10-28 08:00:00,1730073600000,68021.69000000,73620.12000000,67478.73000000,68775.99000000,209232.69647000,1730678399999
2024-11-04 08:00:00,1730678400000,68775.99000000,81500.00000000,66835.00000000,80370.01000000,327445.15705000,1731283199999
2024-11-11 08:00:00,1731283200000,80370.01000000,93265.64000000,80216.01000000,89855.99000000,417630.30233400,1731887999999
2024-11-18 08:00:00,1731888000000,89855.98000000,99588.01000000,89376.90000000,97900.04000000,303784.77178200,1732492799999
2024-11-25 08:00:00,1732492800000,97900.05000000,98871.80000000,90791.10000000,97185.18000000,237818.37314000,1733097599999
2024-12-02 08:00:00,1733097600000,97185.17000000,104088.00000000,90500.00000000,101109.59000000,302152.73546200,1733702399999
2024-12-09 08:00:00,1733702400000,101109.60000000,105250.00000000,94150.05000000,104463.99000000,230968.33990500,1734307199999
2024-12-16 08:00:00,1734307200000,104463.99000000,108353.00000000,92232.54000000,95186.27000000,281544.24224600,1734911999999
2024-12-23 08:00:00,1734912000000,95186.28000000,99963.70000000,92520.00000000,93738.20000000,140614.68725000,1735516799999
2024-12-30 08:00:00,1735516800000,93738.19000000,98976.91000000,91530.45000000,98363.61000000,111914.79510000,1736121599999
2025-01-06 08:00:00,1736121600000,98363.61000000,102724.38000000,91203.67000000,94545.06000000,172710.45967000,1736726399999
2025-01-13 08:00:00,1736726400000,94545.07000000,106422.43000000,89256.69000000,101331.57000000,235685.99260000,1737331199999
2025-01-20 08:00:00,1737331200000,101331.57000000,109588.00000000,99550.00000000,102620.00000000,254162.14092200,1737935999999
2025-01-27 08:00:00,1737936000000,102620.01000000,106457.44000000,96150.00000000,97700.59000000,184203.26328000,1738540799999
2025-02-03 08:00:00,1738540800000,97700.59000000,102500.01000000,91231.00000000,96462.75000000,221243.61368000,1739145599999
2025-02-10 08:00:00,1739145600000,96462.75000000,98826.00000000,94088.23000000,96118.12000000,122007.40976000,1739750399999
2025-02-17 08:00:00,1739750400000,96118.12000000,99475.00000000,93388.09000000,96258.00000000,127758.44873000,1740355199999
2025-02-24 08:00:00,1740355200000,96258.00000000,96500.00000000,78258.52000000,94270.00000000,373604.39736000,1740959999999
2025-03-03 08:00:00,1740960000000,94269.99000000,94416.46000000,80000.00000000,80734.37000000,284471.65101000,1741564799999
2025-03-10 08:00:00,1741564800000,80734.48000000,85309.71000000,76606.00000000,82574.53000000,211663.09876000,1742169599999
2025-03-17 08:00:00,1742169600000,82574.52000000,87453.67000000,81134.66000000,86082.50000000,110906.17448000,1742774399999
2025-03-24 08:00:00,1742774400000,86082.50000000,88765.43000000,81565.00000000,82389.99000000,137009.32282000,1743379199999
2025-03-31 08:00:00,1743379200000,82390.00000000,88500.00000000,77153.83000000,78430.00000000,178247.49297000,1743983999999
2025-04-07 08:00:00,1743984000000,78430.00000000,86100.00000000,74508.00000000,83760.00000000,300064.17057000,1744588799999
2025-04-14 08:00:00,1744588800000,83760.00000000,86496.42000000,83111.64000000,85179.24000000,108454.40360000,1745193599999
2025-04-21 08:00:00,1745193600000,85179.24000000,95758.04000000,85144.76000000,93749.30000000,170625.92469000,1745798399999
2025-04-28 08:00:00,1745798400000,93749.29000000,97895.68000000,92800.01000000,94277.62000000,113820.08215000,1746403199999
2025-05-05 08:00:00,1746403200000,94277.61000000,104984.57000000,93377.00000000,104118.00000000,145910.00118000,1747007999999
2025-05-12 08:00:00,1747008000000,104118.00000000,106660.00000000,100718.37000000,106454.26000000,135512.85987000,1747612799999
2025-05-19 08:00:00,1747612800000,106454.27000000,111980.00000000,102000.00000000,109004.19000000,197357.63279500,1748217599999
2025-05-26 08:00:00,1748217600000,109004.20000000,110718.00000000,103068.55000000,105642.93000000,116099.81900000,1748822399999
2025-06-02 08:00:00,1748822400000,105642.93000000,106794.67000000,100372.26000000,105734.00000000,95301.97979000,1749427199999
2025-06-09 08:00:00,1749427200000,105734.01000000,110530.17000000,102664.31000000,105594.01000000,110085.74896000,1750031999999
2025-06-16 08:00:00,1750032000000,105594.02000000,108952.38000000,98200.00000000,100963.87000000,110755.93156000,1750636799999
2025-06-23 08:00:00,1750636800000,100963.87000000,108528.50000000,99613.33000000,108356.93000000,91938.97808000,1751241599999
2025-06-30 08:00:00,1751241600000,108356.93000000,110529.18000000,105100.19000000,109203.84000000,72977.17630000,1751846399999
2025-07-07 08:00:00,1751846400000,109203.85000000,119488.00000000,107429.57000000,119086.64000000,104658.05244000,1752451199999
2025-07-14 08:00:00,1752451200000,119086.65000000,123218.00000000,115736.92000000,117265.12000000,131579.68933700,1753055999999
2025-07-21 08:00:00,1753056000000,117265.11000000,120247.80000000,114723.16000000,119415.55000000,123158.43225000,1753660799999
2025-07-28 08:00:00,1753660800000,119415.56000000,119800.00000000,111920.00000000,114208.80000000,105088.62240000,1754265599999
